matrix_idx,tp,batch,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
3,1,128,8,512,128,10,15,1023
3,2,64,8,512,128,4,15,994
3,4,32,8,512,128,4,9,590
3,8,16,8,512,128,4,5,348
9,1,128,8,128,512,6,19,1279
9,2,64,8,128,512,5,12,796
9,4,32,8,128,512,6,6,398
9,8,16,8,128,512,6,3,207
3,1,128,16,512,128,10,29,1055
3,2,64,16,512,128,4,29,1057
3,4,32,16,512,128,3,19,678
3,8,16,16,512,128,4,10,360
9,1,128,16,128,512,8,37,1342
9,2,64,16,128,512,4,25,900
9,4,32,16,128,512,5,13,467
9,8,16,16,128,512,6,6,218
3,1,128,32,512,128,9,58,1184
3,2,64,32,512,128,4,58,1186
3,4,32,32,512,128,3,37,765
3,8,16,32,512,128,4,20,412
9,1,128,32,128,512,8,66,1355
9,2,64,32,128,512,5,48,979
9,4,32,32,128,512,5,25,511
9,8,16,32,128,512,6,13,265
3,1,128,64,512,128,11,107,1356
3,2,64,64,512,128,5,106,1345
3,4,32,64,512,128,3,74,940
3,8,16,64,512,128,3,39,494
9,1,128,64,128,512,10,106,1350
9,2,64,64,128,512,6,95,1204
9,4,32,64,128,512,6,50,633
9,8,16,64,128,512,5,25,315
3,1,128,128,512,128,14,153,1347
3,2,64,128,512,128,7,154,1354
3,4,32,128,512,128,4,146,1287
3,8,16,128,512,128,3,77,680
9,1,128,128,128,512,14,153,1348
9,2,64,128,128,512,7,154,1353
9,4,32,128,128,512,5,98,864
9,8,16,128,128,512,6,50,441
3,1,128,256,512,128,22,197,1349
3,2,64,256,512,128,11,197,1349
3,4,32,256,512,128,6,198,1353
3,8,16,256,512,128,4,148,1011
9,1,128,256,128,512,22,198,1353
9,2,64,256,128,512,11,198,1353
9,4,32,256,128,512,5,189,1290
9,8,16,256,128,512,5,98,671
