matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
1,1,8,2112,7168,18,13,810
2,1,8,24576,1536,29,21,1332
2,2,8,12288,1536,14,22,1376
2,4,8,6144,1536,7,21,1320
2,8,8,3072,1536,5,13,845
4,1,8,7168,16384,92,21,1326
4,2,8,7168,8192,44,21,1338
4,4,8,7168,4096,23,21,1335
4,8,8,7168,2048,12,21,1341
5,1,8,4096,7168,22,22,1381
6,1,8,7168,2048,12,21,1330
1,1,16,2112,7168,18,28,874
2,1,16,24576,1536,29,42,1347
2,2,16,12288,1536,15,42,1349
2,4,16,6144,1536,7,42,1337
2,8,16,3072,1536,5,27,866
4,1,16,7168,16384,88,43,1351
4,2,16,7168,8192,44,43,1342
4,4,16,7168,4096,22,43,1353
4,8,16,7168,2048,11,42,1345
5,1,16,4096,7168,22,43,1355
6,1,16,7168,2048,11,42,1335
1,1,32,2112,7168,17,59,945
2,1,32,24576,1536,29,83,1356
2,2,32,12288,1536,15,82,1342
2,4,32,6144,1536,8,82,1343
2,8,32,3072,1536,5,59,969
4,1,32,7168,16384,89,85,1343
4,2,32,7168,8192,44,85,1345
4,4,32,7168,4096,22,85,1350
4,8,32,7168,2048,11,83,1345
5,1,32,4096,7168,22,85,1346
6,1,32,7168,2048,11,83,1348
1,1,64,2112,7168,12,164,1346
2,1,64,24576,1536,31,159,1350
2,2,64,12288,1536,15,158,1346
2,4,64,6144,1536,8,158,1347
2,8,64,3072,1536,4,140,1204
4,1,64,7168,16384,89,170,1351
4,2,64,7168,8192,44,169,1351
4,4,64,7168,4096,23,166,1348
4,8,64,7168,2048,12,161,1350
5,1,64,4096,7168,23,167,1347
6,1,64,7168,2048,12,161,1348
1,1,128,2112,7168,13,315,1349
2,1,128,24576,1536,33,295,1351
2,2,128,12288,1536,16,294,1351
2,4,128,6144,1536,8,291,1350
2,8,128,3072,1536,5,240,1132
4,1,128,7168,16384,90,334,1348
4,2,128,7168,8192,46,329,1349
4,4,128,7168,4096,23,320,1350
4,8,128,7168,2048,12,303,1351
5,1,128,4096,7168,23,324,1349
6,1,128,7168,2048,13,303,1351
1,1,256,2112,7168,14,566,1318
2,1,256,24576,1536,38,514,1350
2,2,256,12288,1536,19,510,1349
2,4,256,6144,1536,10,503,1351
2,8,256,3072,1536,6,425,1175
4,1,256,7168,16384,104,576,1201
4,2,256,7168,8192,52,576,1235
4,4,256,7168,4096,26,576,1306
4,8,256,7168,2048,14,537,1349
5,1,256,4096,7168,26,576,1277
6,1,256,7168,2048,14,538,1351
