d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
16,18,8,4,7,1,4,4096,7168,385,11,1375
16,18,8,4,8,1,4,7168,2048,194,11,1368
16,18,16,8,7,1,8,4096,7168,389,22,1368
16,18,16,8,8,1,8,7168,2048,201,21,1327
16,18,32,16,7,1,16,4096,7168,396,43,1350
16,18,32,16,8,1,16,7168,2048,198,43,1365
16,18,64,32,7,1,32,4096,7168,398,85,1349
16,18,64,32,8,1,32,7168,2048,203,83,1346
16,18,128,64,7,1,64,4096,7168,405,167,1350
16,18,128,64,8,1,64,7168,2048,210,161,1346
24,12,8,8,7,1,8,4096,7168,268,21,1325
24,12,8,8,8,1,8,7168,2048,133,21,1336
24,12,16,16,7,1,16,4096,7168,262,43,1355
24,12,16,16,8,1,16,7168,2048,133,42,1341
24,12,32,32,7,1,32,4096,7168,264,85,1352
24,12,32,32,8,1,32,7168,2048,136,83,1346
24,12,64,64,7,1,64,4096,7168,269,167,1349
24,12,64,64,8,1,64,7168,2048,139,161,1348
24,12,128,128,7,1,128,4096,7168,278,324,1350
24,12,128,128,8,1,128,7168,2048,150,302,1348
32,9,8,8,7,1,8,4096,7168,201,21,1328
32,9,8,8,8,1,8,7168,2048,100,21,1321
32,9,16,16,7,1,16,4096,7168,196,43,1358
32,9,16,16,8,1,16,7168,2048,101,42,1345
32,9,32,32,7,1,32,4096,7168,198,85,1352
32,9,32,32,8,1,32,7168,2048,101,84,1356
32,9,64,64,7,1,64,4096,7168,202,167,1349
32,9,64,64,8,1,64,7168,2048,106,161,1346
32,9,128,128,7,1,128,4096,7168,208,324,1350
32,9,128,128,8,1,128,7168,2048,112,303,1352
32,9,256,256,7,1,256,4096,7168,234,576,1276
32,9,256,256,8,1,256,7168,2048,126,537,1349
48,6,8,16,7,1,16,4096,7168,130,43,1360
48,6,8,16,8,1,16,7168,2048,68,42,1336
48,6,16,32,7,1,32,4096,7168,132,85,1353
48,6,16,32,8,1,32,7168,2048,69,83,1344
48,6,32,64,7,1,64,4096,7168,135,167,1349
48,6,32,64,8,1,64,7168,2048,69,162,1354
48,6,64,128,7,1,128,4096,7168,138,324,1350
